기준일,시군구명,구분,품목,규격 및 단위,물가동향,데이터기준일자
2023-01-04,장안구,개인서비스요금(외식비),설렁탕,1인분(보통),8813 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),냉면,"물냉면,1인분(보통)",8000 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),비빕밥,1인분(보통),7000 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),갈비탕,1인분(보통),12350 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),삼계탕,"닭 1마리,1인분(보통)",14778 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),김치찌개,1인분(보통),7400 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),된장찌개,1인분(보통),7400 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),불고기,"쇠고기 200g(국내산육우), 공기밥 제외",13813 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),삼겹살(외식),"돼지고기 200g(국내산), 공기밥 제외",14860 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),등심구이(외식),"쇠고기 200g(한우, 1+), 1인분",46033 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),돼지갈비(외식),국내산 200g,13440 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),짜장면,중화요리점 1그릇(보통),6400 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),짬뽕,중화요리점 1그릇(보통),7750 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),탕수육,"중화요리점 1그릇(중, 돼지고기)",21990 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),생선초밥,"일식집 1인분, 활어기준",13280 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),돈까스,"돈까스(국내산) 식당, 1인분",8150 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),햄버거,"전문점, 불고기 버거 1개",3813 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),피자,"전문점, 불고기 피자, 기본형(레귤러)",13900 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),커피(외식),"커피전문점, 일반 원두커피 1잔",3070 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),국산차(외식),녹차 1잔,4000 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),치킨,"튀김통닭, 후라이드",15800 ,2023-01-25
2023-01-04,장안구,개인서비스요금(외식비),칼국수,칼국수 전문점 1그릇,7500 ,2023-01-25
